id,title,authors,year,venue,arxiv,category
271,MiniLM: Deep Self-Attention Distillation,Wang et al.,2020,NeurIPS,2002.10957,Model Compression
272,Patient Knowledge Distillation for BERT Model Compression,Sun et al.,2019,EMNLP,1908.09355,Model Compression
273,FlashAttention: Fast and Memory-Efficient Exact Attention,Dao et al.,2022,NeurIPS,2205.14135,Efficient Training
274,FlashAttention-2: Faster Attention with Better Parallelism,Dao,2023,arXiv,2307.08691,Efficient Training
275,PagedAttention: vLLM Efficient Memory Management,Kwon et al.,2023,SOSP,2309.06180,Efficient Inference
276,Speculative Decoding: Fast LLM Inference,Leviathan et al.,2023,ICML,2211.17192,Efficient Inference
277,Medusa: Simple LLM Inference Acceleration,Cai et al.,2024,arXiv,2401.10774,Efficient Inference
278,DeepSpeed: System Optimizations Enable Training Deep Learning Models,Rasley et al.,2020,KDD,2002.08570,Distributed Training
279,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,Shoeybi et al.,2020,SC,1909.08053,Distributed Training
280,ZeRO: Memory Optimizations Toward Training Trillion Parameter Models,Rajbhandari et al.,2020,SC,1910.02054,Distributed Training
281,FSDP: Fully Sharded Data Parallel,Zhao et al.,2023,arXiv,2304.11277,Distributed Training
282,PyTorch FSDP: Experiences on Scaling Fully Sharded Data Parallel,Zhao et al.,2023,VLDB,2304.11277,Distributed Training
283,Alpa: Automating Inter- and Intra-Operator Parallelism,Zheng et al.,2022,OSDI,2201.12023,Distributed Training
284,Pathways: Asynchronous Distributed Dataflow for ML,Barham et al.,2022,MLSys,2203.12533,Distributed Training
285,GPipe: Efficient Training of Giant Neural Networks,Huang et al.,2019,NeurIPS,1811.06965,Distributed Training
286,PipeDream: Generalized Pipeline Parallelism,Narayanan et al.,2019,SOSP,1806.03377,Distributed Training
287,Tensor Parallelism: Megatron-LM Training,Shoeybi et al.,2020,SC,1909.08053,Distributed Training
288,Mixed Precision Training,Micikevicius et al.,2018,ICLR,1710.03740,Efficient Training
289,Automatic Mixed Precision: Training Deep Neural Networks with FP16,Micikevicius et al.,2018,ICLR,1710.03740,Efficient Training
290,BFloat16: The secret to high performance on Cloud TPUs,Google,2019,Blog,,Efficient Training
291,Gradient Checkpointing: Training Deep Nets with Sublinear Memory Cost,Chen et al.,2016,arXiv,1604.06174,Efficient Training
292,Gradient Accumulation: Training Neural Networks on Larger Batches,Ott et al.,2018,arXiv,1806.00187,Efficient Training
293,Shampoo: Preconditioned Stochastic Tensor Optimization,Gupta et al.,2018,ICML,1802.09568,Optimization
294,LAMB: Large Batch Optimization for Deep Learning,You et al.,2020,ICLR,1904.00962,Optimization
295,LARS: Large Batch Training of Convolutional Networks,You et al.,2017,arXiv,1708.03888,Optimization
296,AdamW: Decoupled Weight Decay Regularization,Loshchilov & Hutter,2019,ICLR,1711.05101,Optimization
297,RAdam: On the Variance of the Adaptive Learning Rate,Liu et al.,2020,ICLR,1908.03265,Optimization
298,Lookahead Optimizer: k steps forward 1 step back,Zhang et al.,2019,NeurIPS,1907.08610,Optimization
299,AdaBelief: Adapting Stepsizes by the Belief in Observed Gradients,Zhuang et al.,2020,NeurIPS,2010.07468,Optimization
300,Lion: Symbolic Discovery of Optimization Algorithms,Chen et al.,2023,arXiv,2302.06675,Optimization
301,Sophia: A Scalable Stochastic Second-order Optimizer,Liu et al.,2023,arXiv,2305.14342,Optimization
302,Learning Rate Schedules: Cyclical Learning Rates,Smith,2017,WACV,1506.01186,Training Techniques
303,Super-Convergence: Very Fast Training of Neural Networks,Smith & Topin,2019,arXiv,1708.07120,Training Techniques
304,Cosine Annealing: SGDR Stochastic Gradient Descent with Warm Restarts,Loshchilov & Hutter,2017,ICLR,1608.03983,Training Techniques
305,OneCycleLR: A disciplined approach to neural network hyper-parameters,Smith,2018,arXiv,1803.09820,Training Techniques
306,Warmup: Accurate Large Minibatch SGD,Goyal et al.,2017,arXiv,1706.02677,Training Techniques
307,Gradient Clipping: On the difficulty of training RNNs,Pascanu et al.,2013,ICML,1211.5063,Training Techniques
308,Early Stopping: Simple strategies for neural network training,Prechelt,1998,Neural Networks,,Training Techniques
309,Learning Rate Finder: Estimating an Optimal Learning Rate,Smith,2015,arXiv,1506.01186,Training Techniques
310,Stochastic Weight Averaging: Averaging Weights Leads to Wider Optima,Izmailov et al.,2018,UAI,1803.05407,Training Techniques
311,Exponential Moving Average: Mean teachers are better role models,Tarvainen & Valpola,2017,NeurIPS,1703.01780,Training Techniques
312,Self-Training: Pseudo-Label The Simple and Efficient Semi-Supervised Learning,Lee,2013,ICML Workshop,1908.02983,Semi-Supervised
313,FixMatch: Simplifying Semi-Supervised Learning,Sohn et al.,2020,NeurIPS,2001.07685,Semi-Supervised
314,MixMatch: A Holistic Approach to Semi-Supervised Learning,Berthelot et al.,2019,NeurIPS,1905.02249,Semi-Supervised
315,UDA: Unsupervised Data Augmentation,Xie et al.,2020,ICLR,1904.12848,Semi-Supervised
316,Noisy Student: Self-training with Noisy Student improves ImageNet,Xie et al.,2020,CVPR,1911.04252,Semi-Supervised
317,Virtual Adversarial Training: A Regularization Method,Miyato et al.,2019,TPAMI,1704.03976,Semi-Supervised
318,Temporal Ensembling for Semi-Supervised Learning,Laine & Aila,2017,ICLR,1610.02242,Semi-Supervised
319,Contrastive Learning: Momentum Contrast for Unsupervised Visual Representation,He et al.,2020,CVPR,1911.05722,Self-Supervised
320,SimSiam: Exploring Simple Siamese Representation Learning,Chen & He,2021,CVPR,2011.10566,Self-Supervised
321,VICReg: Variance-Invariance-Covariance Regularization,Bardes et al.,2022,ICLR,2105.04906,Self-Supervised
322,BarlowTwins: Self-Supervised Learning via Redundancy Reduction,Zbontar et al.,2021,ICML,2103.03230,Self-Supervised
323,MAE: Masked Autoencoders Are Scalable Vision Learners,He et al.,2022,CVPR,2111.06377,Self-Supervised
324,SimMIM: A Simple Framework for Masked Image Modeling,Xie et al.,2022,CVPR,2111.09886,Self-Supervised
325,Context Encoder: Feature Learning by Inpainting,Pathak et al.,2016,CVPR,1604.07379,Self-Supervised
326,Jigsaw Puzzle: Unsupervised Learning of Visual Representations,Noroozi & Favaro,2016,ECCV,1603.09246,Self-Supervised
327,Rotation Prediction: Unsupervised Representation Learning,Gidaris et al.,2018,ICLR,1803.07728,Self-Supervised
328,Colorization: Colorful Image Colorization,Zhang et al.,2016,ECCV,1603.08511,Self-Supervised
329,Adversarial Training: Explaining and Harnessing Adversarial Examples,Goodfellow et al.,2015,ICLR,1412.6572,Robustness
330,PGD: Towards Deep Learning Models Resistant to Adversarial Attacks,Madry et al.,2018,ICLR,1706.06083,Robustness
331,FGSM: Fast Gradient Sign Method,Goodfellow et al.,2015,ICLR,1412.6572,Robustness
332,C&W Attack: Towards Evaluating the Robustness of Neural Networks,Carlini & Wagner,2017,S&P,1608.04644,Robustness
333,AutoAttack: Reliable evaluation of adversarial robustness,Croce & Hein,2020,ICML,2003.01690,Robustness
334,Certified Defenses: Certified Adversarial Robustness via Randomized Smoothing,Cohen et al.,2019,ICML,1902.02918,Robustness
335,Adversarial Patch: Adversarial Patch Attack,Brown et al.,2017,arXiv,1712.09665,Robustness
336,Universal Perturbations: Universal Adversarial Perturbations,Moosavi-Dezfooli et al.,2017,CVPR,1610.08401,Robustness
337,DeepFool: A Simple and Accurate Method,Moosavi-Dezfooli et al.,2016,CVPR,1511.04599,Robustness
338,One Pixel Attack: One pixel attack for fooling deep neural networks,Su et al.,2019,IEEE TEC,1710.08864,Robustness
339,Backdoor Attacks: BadNets Identifying Vulnerabilities,Gu et al.,2019,arXiv,1708.06733,Security
340,Trojan Attacks: Neural Trojans,Liu et al.,2018,NDSS,1710.00942,Security
341,Data Poisoning: Poisoning Attacks against Support Vector Machines,Biggio et al.,2012,ICML,,Security
342,Model Inversion: Model Inversion Attacks,Fredrikson et al.,2015,CCS,,Security
343,Membership Inference: Membership Inference Attacks,Shokri et al.,2017,S&P,,Security
344,Privacy in ML: Deep Learning with Differential Privacy,Abadi et al.,2016,CCS,1607.00133,Privacy
345,Federated Learning: Communication-Efficient Learning,McMahan et al.,2017,AISTATS,1602.05629,Privacy
346,Differential Privacy: The Algorithmic Foundations,Dwork & Roth,2014,FNT,,Privacy
347,DP-SGD: Deep Learning with Differential Privacy,Abadi et al.,2016,CCS,1607.00133,Privacy
348,PATE: Private Aggregation of Teacher Ensembles,Papernot et al.,2017,ICLR,1610.05755,Privacy
349,Secure Multi-Party Computation: Privacy-Preserving Deep Learning,Mohassel & Zhang,2017,S&P,,Privacy
350,Homomorphic Encryption: CryptoNets Applying Neural Networks,Gilad-Bachrach et al.,2016,ICML,,Privacy
351,FedAvg: Communication-Efficient Learning of Deep Networks,McMahan et al.,2017,AISTATS,1602.05629,Federated Learning
352,FedProx: Federated Optimization in Heterogeneous Networks,Li et al.,2020,MLSys,1812.06127,Federated Learning
353,FedBN: Federated Learning on Non-IID Data via Local Batch Normalization,Li et al.,2021,ICLR,2102.07623,Federated Learning
354,SCAFFOLD: Stochastic Controlled Averaging for Federated Learning,Karimireddy et al.,2020,ICML,1910.06378,Federated Learning
355,Split Learning: Distributed Deep Learning,Gupta & Raskar,2018,arXiv,1810.06060,Federated Learning
356,Vertical Federated Learning: Secure Federated Transfer Learning,Yang et al.,2019,arXiv,1812.03337,Federated Learning
357,Explainability: Grad-CAM Visual Explanations,Selvaraju et al.,2017,ICCV,1610.02391,Explainability
358,LIME: Local Interpretable Model-agnostic Explanations,Ribeiro et al.,2016,KDD,1602.04938,Explainability
359,SHAP: A Unified Approach to Interpreting Model Predictions,Lundberg & Lee,2017,NeurIPS,1705.07874,Explainability
360,Attention Visualization: Attention is not Explanation,Jain & Wallace,2019,NAACL,1902.10186,Explainability
361,Integrated Gradients: Axiomatic Attribution for Deep Networks,Sundararajan et al.,2017,ICML,1703.01365,Explainability
362,Saliency Maps: Deep Inside Convolutional Networks,Simonyan et al.,2014,ICLR Workshop,1312.6034,Explainability
363,Layer-wise Relevance Propagation: Explaining Deep Neural Networks,Bach et al.,2015,PLOS ONE,1506.02753,Explainability
364,DeepLIFT: Learning Important Features Through Propagating,Shrikumar et al.,2017,ICML,1704.02685,Explainability
365,Concept Activation Vectors: Interpretability Beyond Feature Attribution,Kim et al.,2018,ICML,1711.11279,Explainability
366,Neural Network Pruning: Learning both Weights and Connections,Han et al.,2015,NeurIPS,1506.02626,Model Compression
367,Magnitude Pruning: To prune or not to prune,Han et al.,2015,NeurIPS,1506.02626,Model Compression
368,Structured Pruning: Structured Pruning of Deep CNNs,Li et al.,2017,ICLR,1608.08710,Model Compression
369,Channel Pruning: Pruning Filters for Efficient ConvNets,Li et al.,2017,ICCV,1608.08710,Model Compression
370,Network Slimming: Learning Efficient CNNs through Network Slimming,Liu et al.,2017,ICCV,1708.06519,Model Compression
371,ThiNet: A Filter Level Pruning Method,Luo et al.,2017,ICCV,1707.06342,Model Compression
372,AutoML for Model Compression: AMC Automated Model Compression,He et al.,2018,ECCV,1802.03494,Model Compression
373,OFA: Once-for-All Train One Network and Specialize it,Cai et al.,2020,ICLR,1908.09791,AutoML
374,ProxylessNAS: Direct Neural Architecture Search on Target Task,Cai et al.,2019,ICLR,1812.00332,AutoML
375,NAS-FPN: Learning Scalable Feature Pyramid Architecture,Ghiasi et al.,2019,CVPR,1904.07392,AutoML
376,Auto-DeepLab: Hierarchical Neural Architecture Search,Liu et al.,2019,CVPR,1901.02985,AutoML
377,MnasNet: Platform-Aware Neural Architecture Search,Tan et al.,2019,CVPR,1807.11626,AutoML
378,EfficientDet: Scalable and Efficient Object Detection,Tan et al.,2020,CVPR,1911.09070,AutoML
379,Neural Architecture Transfer: NAT Neural Architecture Transfer,Lu et al.,2020,ICML,1803.03838,AutoML
380,Hyperparameter Optimization: Hyperband A Novel Bandit-Based Approach,Li et al.,2018,JMLR,1603.06560,AutoML
381,Bayesian Optimization: Practical Bayesian Optimization,Snoek et al.,2012,NeurIPS,,AutoML
382,Optuna: A Next-generation Hyperparameter Optimization Framework,Akiba et al.,2019,KDD,1907.10902,AutoML
383,Ray Tune: Scalable Hyperparameter Tuning,Liaw et al.,2018,arXiv,1807.05118,AutoML
384,Continual Learning: Overcoming catastrophic forgetting,Kirkpatrick et al.,2017,PNAS,1612.00796,Continual Learning
385,EWC: Elastic Weight Consolidation,Kirkpatrick et al.,2017,PNAS,1612.00796,Continual Learning
386,Progressive Neural Networks,Rusu et al.,2016,arXiv,1606.04671,Continual Learning
387,PackNet: Adding Multiple Tasks to a Single Network,Mallya & Lazebnik,2018,CVPR,1711.05769,Continual Learning
388,Gradient Episodic Memory for Continual Learning,Lopez-Paz & Ranzato,2017,NeurIPS,1706.08840,Continual Learning
389,iCaRL: Incremental Classifier and Representation Learning,Rebuffi et al.,2017,CVPR,1611.07725,Continual Learning
390,Learning without Forgetting,Li & Hoiem,2018,TPAMI,1606.09282,Continual Learning
391,Memory Aware Synapses: Learning what (not) to forget,Aljundi et al.,2018,ECCV,1711.09601,Continual Learning
392,Online Continual Learning with Maximal Interfered Retrieval,Aljundi et al.,2019,NeurIPS,1908.04742,Continual Learning
393,DER: Dark Experience for General Continual Learning,Buzzega et al.,2020,NeurIPS,2004.07211,Continual Learning
394,Co-Training: Combining Labeled and Unlabeled Data,Blum & Mitchell,1998,COLT,,Semi-Supervised
395,Tri-training: Exploiting unlabeled data using tri-training,Zhou & Li,2005,TKDE,,Semi-Supervised
396,Active Learning: A Survey,Settles,2009,Tech Report,,Active Learning
397,Uncertainty Sampling for Active Learning,Lewis & Gale,1994,SIGIR,,Active Learning
398,Query-by-Committee: Improving Generalization,Seung et al.,1992,COLT,,Active Learning
399,BALD: Bayesian Active Learning by Disagreement,Houlsby et al.,2011,arXiv,1112.5745,Active Learning
400,Deep Bayesian Active Learning with Image Data,Gal et al.,2017,ICML,1703.02910,Active Learning
401,Learning Loss for Active Learning,Yoo & Kweon,2019,CVPR,1905.03677,Active Learning
402,Core-Set Selection for Active Learning,Sener & Savarese,2018,ICLR,1708.00489,Active Learning
403,Multi-Task Learning: A Knowledge-Based Source of Inductive Bias,Caruana,1997,Machine Learning,,Multi-Task Learning
404,Cross-Stitch Networks for Multi-task Learning,Misra et al.,2016,CVPR,1604.03539,Multi-Task Learning
405,Multi-Task Attention Network for Multi-Task Learning,Liu et al.,2019,CVPR,1803.10704,Multi-Task Learning
406,Taskonomy: Disentangling Task Transfer Learning,Zamir et al.,2018,CVPR,1804.08328,Multi-Task Learning
407,Which Tasks Should Be Learned Together in Multi-task Learning,Standley et al.,2020,ICML,1905.07553,Multi-Task Learning
408,GradNorm: Gradient Normalization for Adaptive Loss Balancing,Chen et al.,2018,ICML,1711.02257,Multi-Task Learning
409,Uncertainty Weighting for Multi-Task Learning,Kendall et al.,2018,CVPR,1705.07115,Multi-Task Learning
410,PCGrad: Gradient Surgery for Multi-Task Learning,Yu et al.,2020,NeurIPS,2001.06782,Multi-Task Learning
411,Zero-Shot Learning: Learning to Learn with Compound HD Models,Lampert et al.,2009,NeurIPS,,Zero-Shot Learning
412,Attributes-Based Classification: Zero-Shot Learning,Lampert et al.,2014,TPAMI,,Zero-Shot Learning
413,DeViSE: A Deep Visual-Semantic Embedding Model,Frome et al.,2013,NeurIPS,,Zero-Shot Learning
414,ConSE: Convex Combination of Semantic Embeddings,Norouzi et al.,2014,ICLR,,Zero-Shot Learning
415,GZSL: Generalized Zero-Shot Learning,Chao et al.,2016,CVPR,,Zero-Shot Learning
416,f-VAEGAN: Feature Generating Networks for Zero-Shot Learning,Xian et al.,2018,CVPR,1712.00981,Zero-Shot Learning
417,CLIP-based Zero-Shot: Learning Transferable Visual Models,Radford et al.,2021,ICML,2103.00020,Zero-Shot Learning
418,Domain Adaptation: Adapting Visual Category Models,Saenko et al.,2010,ECCV,,Domain Adaptation
419,DANN: Domain-Adversarial Training of Neural Networks,Ganin et al.,2016,JMLR,1505.07818,Domain Adaptation
420,ADDA: Adversarial Discriminative Domain Adaptation,Tzeng et al.,2017,CVPR,1702.05464,Domain Adaptation
421,CycleGAN: Unpaired Image-to-Image Translation,Zhu et al.,2017,ICCV,1703.10593,Domain Adaptation
422,DIRT-T: A DIRT-T Approach to Unsupervised Domain Adaptation,Shu et al.,2018,ICLR,1802.08735,Domain Adaptation
423,MCD: Maximum Classifier Discrepancy for Unsupervised Domain Adaptation,Saito et al.,2018,CVPR,1712.02560,Domain Adaptation
424,CDAN: Conditional Adversarial Domain Adaptation,Long et al.,2018,NeurIPS,1705.10667,Domain Adaptation
425,BSP: Larger Norm More Transferable,Zhang et al.,2019,AAAI,1811.07456,Domain Adaptation
426,FixBI: Bridging Domain Gaps for Unpaired Image-to-Image Translation,Kim et al.,2020,CVPR,2003.08777,Domain Adaptation
427,SimCLR v2: Big Self-Supervised Models are Strong Semi-Supervised Learners,Chen et al.,2020,NeurIPS,2006.10029,Self-Supervised
428,Bootstrap Your Own Latent v2: Improved Self-Supervised Learning,Grill et al.,2020,NeurIPS,2006.07733,Self-Supervised
429,Momentum Encoder: A Simple Framework for Self-supervised Learning,He et al.,2020,CVPR,1911.05722,Self-Supervised
430,Instance Discrimination: Unsupervised Feature Learning via Non-Parametric Instance Discrimination,Wu et al.,2018,CVPR,1805.01978,Self-Supervised
431,CMC: Contrastive Multiview Coding,Tian et al.,2019,arXiv,1906.05849,Self-Supervised
432,InfoMin: What Makes for Good Views for Contrastive Learning,Tian et al.,2020,NeurIPS,2005.10243,Self-Supervised
433,Supervised Contrastive Learning,Khosla et al.,2020,NeurIPS,2004.11362,Contrastive Learning
434,Hard Negative Mining: Sampling Matters in Deep Embedding Learning,Wu et al.,2017,ICCV,1706.07567,Contrastive Learning
435,Triplet Loss: FaceNet A Unified Embedding for Face Recognition,Schroff et al.,2015,CVPR,,Metric Learning
436,Lifted Structure: Deep Metric Learning via Lifted Structured Feature Embedding,Song et al.,2016,CVPR,1511.06452,Metric Learning
437,N-Pair Loss: Improved Deep Metric Learning with Multi-class N-pair Loss,Sohn,2016,NeurIPS,1708.01682,Metric Learning
438,Proxy-NCA: No Fuss Distance Metric Learning using Proxies,Movshovitz-Attias et al.,2017,ICCV,1703.07464,Metric Learning
439,ArcFace: Additive Angular Margin Loss for Deep Face Recognition,Deng et al.,2019,CVPR,1801.07698,Metric Learning
440,CosFace: Large Margin Cosine Loss for Deep Face Recognition,Wang et al.,2018,CVPR,1801.09414,Metric Learning
441,SphereFace: Deep Hypersphere Embedding for Face Recognition,Liu et al.,2017,CVPR,1704.08063,Metric Learning
442,Circle Loss: A Unified Perspective of Pair Similarity Optimization,Sun et al.,2020,CVPR,2002.10857,Metric Learning
443,ProtoNet: Prototypical Networks for Few-shot Learning,Snell et al.,2017,NeurIPS,1703.05175,Few-Shot Learning
444,MAML: Model-Agnostic Meta-Learning for Fast Adaptation,Finn et al.,2017,ICML,1703.03400,Meta-Learning
445,Meta-SGD: Meta-SGD Learning to Learn Quickly for Few-Shot Learning,Li et al.,2017,arXiv,1707.09835,Meta-Learning
446,TAML: Task-Agnostic Meta-Learning for Few-Shot Learning,Jamal & Qi,2019,CVPR,1805.07722,Meta-Learning
447,LEO: Latent Embedding Optimization for Few-Shot Learning,Rusu et al.,2019,ICLR,1807.05960,Meta-Learning
448,Meta-Transfer Learning: Meta-Transfer Learning for Few-Shot Learning,Sun et al.,2019,CVPR,1812.02391,Meta-Learning
449,MetaOptNet: Meta-Learning with Differentiable Convex Optimization,Lee et al.,2019,CVPR,1904.03758,Meta-Learning
450,SimpleShot: Revisiting Nearest-Neighbor Classification for Few-Shot Learning,Wang et al.,2019,arXiv,1911.04623,Few-Shot Learning
451,FEAT: Few-Shot Learning via Embedding Adaptation with Set-to-Set Functions,Ye et al.,2020,CVPR,1812.03664,Few-Shot Learning
452,Meta-Baseline: Exploring Simple Meta-Learning for Few-Shot Learning,Chen et al.,2021,ICCV,2003.04390,Meta-Learning
453,Neural Processes: Neural Processes,Garnelo et al.,2018,ICML Workshop,1807.01622,Meta-Learning
454,Conditional Neural Processes,Garnelo et al.,2018,ICML,1807.01613,Meta-Learning
455,Attentive Neural Processes,Kim et al.,2019,ICLR,1901.05761,Meta-Learning
456,Transductive Propagation Network for Few-Shot Learning,Liu et al.,2019,ICLR,1805.10002,Few-Shot Learning
457,Edge-labeling Graph Neural Network for Few-shot Learning,Kim et al.,2019,CVPR,1905.01436,Few-Shot Learning
458,Cross-Domain Few-Shot Classification via Learned Feature-Wise Transformation,Tseng et al.,2020,ICLR,2001.08735,Few-Shot Learning
459,Meta-Dataset: A Dataset of Datasets for Few-Shot Learning,Triantafillou et al.,2020,ICLR,1903.03096,Few-Shot Learning
460,TaskNorm: Rethinking Batch Normalization for Meta-Learning,Bronskill et al.,2020,ICML,2003.03284,Meta-Learning
461,Multimodal Learning: Multimodal Machine Learning A Survey,Baltrušaitis et al.,2019,TPAMI,1705.09406,Multimodal
462,VisualBERT: A Simple and Performant Baseline for Vision and Language,Li et al.,2019,arXiv,1908.03557,Multimodal
463,ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations,Lu et al.,2019,NeurIPS,1908.02265,Multimodal
464,LXMERT: Learning Cross-Modality Encoder Representations from Transformers,Tan & Bansal,2019,EMNLP,1908.07490,Multimodal
465,UNITER: UNiversal Image-TExt Representation Learning,Chen et al.,2020,ECCV,1909.11740,Multimodal
466,Oscar: Object-Semantics Aligned Pre-training for Vision-Language,Li et al.,2020,ECCV,2004.06165,Multimodal
467,VinVL: Revisiting Visual Representations in Vision-Language Models,Zhang et al.,2021,CVPR,2101.00529,Multimodal
468,ALIGN: Scaling Up Visual and Vision-Language Representation Learning,Jia et al.,2021,ICML,2102.05918,Multimodal
469,Florence: A New Foundation Model for Computer Vision,Yuan et al.,2021,arXiv,2111.11432,Multimodal
470,CoCa: Contrastive Captioners are Image-Text Foundation Models,Yu et al.,2022,arXiv,2205.01917,Multimodal
471,BEiTv2: Masked Image Modeling with Vector-Quantized Visual Tokenizers,Peng et al.,2022,arXiv,2208.06366,Multimodal
472,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders,Li et al.,2023,arXiv,2301.12597,Multimodal
473,InstructBLIP: Towards General-purpose Vision-Language Models,Dai et al.,2023,arXiv,2305.06500,Multimodal
474,LLaVA: Visual Instruction Tuning,Liu et al.,2023,arXiv,2304.08485,Multimodal
475,MiniGPT-4: Enhancing Vision-language Understanding,Zhu et al.,2023,arXiv,2304.10592,Multimodal
476,GPT-4V: GPT-4 with Vision,OpenAI,2023,Tech Report,,Multimodal
477,Gemini: A Family of Highly Capable Multimodal Models,Google,2023,arXiv,2312.11805,Multimodal
478,Qwen-VL: A Versatile Vision-Language Model,Bai et al.,2023,arXiv,2308.12966,Multimodal
479,CogVLM: Visual Expert for Pretrained Language Models,Wang et al.,2023,arXiv,2311.03079,Multimodal
480,Emu: Generative Pretraining in Multimodality,Sun et al.,2023,arXiv,2307.05222,Multimodal
481,ImageBind: One Embedding Space To Bind Them All,Girdhar et al.,2023,CVPR,2305.05665,Multimodal
482,PandaGPT: One Model To Instruction-Follow Them All,Su et al.,2023,arXiv,2305.16355,Multimodal
483,Video-LLaMA: An Instruction-tuned Audio-Visual Language Model,Zhang et al.,2023,arXiv,2306.02858,Multimodal
484,mPLUG-2: A Modularized Multi-modal Foundation Model,Xu et al.,2023,arXiv,2302.00402,Multimodal
485,UniDiffuser: One Transformer Fits All Distributions,Bao et al.,2023,arXiv,2303.06555,Multimodal
486,AudioLM: a Language Modeling Approach to Audio Generation,Borsos et al.,2022,arXiv,2209.03143,Audio Generation
487,MusicLM: Generating Music From Text,Agostinelli et al.,2023,arXiv,2301.11325,Audio Generation
488,AudioGen: Textually Guided Audio Generation,Kreuk et al.,2022,arXiv,2209.15352,Audio Generation
489,VALL-E: Neural Codec Language Models are Zero-Shot TTS,Wang et al.,2023,arXiv,2301.02111,Speech Synthesis
490,VALL-E X: Speak Foreign Languages with Your Own Voice,Zhang et al.,2023,arXiv,2303.03926,Speech Synthesis
491,Bark: Text-Prompted Generative Audio Model,Suno AI,2023,GitHub,,Audio Generation
492,VoiceBox: Text-Guided Multilingual Universal Speech Generation,Le et al.,2023,arXiv,2306.15687,Speech Synthesis
493,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities,Zhang et al.,2023,arXiv,2305.11000,Speech/Multimodal
494,AudioPaLM: A Large Language Model That Can Speak and Listen,Rubenstein et al.,2023,arXiv,2306.12925,Speech/Multimodal
495,SoundStorm: Efficient Parallel Audio Generation,Borsos et al.,2023,arXiv,2305.09636,Audio Generation
496,Retrieval-Augmented Generation: Retrieval-Augmented Generation for Knowledge-Intensive NLP,Lewis et al.,2020,NeurIPS,2005.11401,RAG
497,REALM: Retrieval-Augmented Language Model Pre-Training,Guu et al.,2020,ICML,2002.08909,RAG
498,DPR: Dense Passage Retrieval for Open-Domain QA,Karpukhin et al.,2020,EMNLP,2004.04906,RAG
499,RETRO: Improving language models by retrieving from trillions of tokens,Borgeaud et al.,2022,ICML,2112.04426,RAG
500,Atlas: Few-shot Learning with Retrieval Augmented Language Models,Izacard et al.,2023,JMLR,2208.03299,RAG
501,FiD: Leveraging Passage Retrieval with Generative Models,Izacard & Grave,2021,EACL,2007.01282,RAG
502,ColBERT: Efficient and Effective Passage Search,Khattab & Zaharia,2020,SIGIR,2004.12832,Retrieval
503,ANCE: Approximate Nearest Neighbor Negative Contrastive Learning,Xiong et al.,2021,ICLR,2007.00808,Retrieval
504,SPLADE: Sparse Lexical and Expansion Model,Formal et al.,2021,SIGIR,2107.05720,Retrieval
505,E5: Text Embeddings by Weakly-Supervised Contrastive Pre-training,Wang et al.,2022,arXiv,2212.03533,Embeddings
506,BGE: C-Pack: Packaged Resources To Advance General Chinese Embedding,Xiao et al.,2023,arXiv,2309.07597,Embeddings
507,GTE: Towards General Text Embeddings with Multi-stage Contrastive Learning,Li et al.,2023,arXiv,2308.03281,Embeddings
508,Instructor: One Embedder Any Task,Su et al.,2022,arXiv,2212.09741,Embeddings
509,Contriever: Unsupervised Dense Information Retrieval,Izacard et al.,2022,TMLR,2112.09118,Retrieval
510,WebGPT: Browser-assisted question-answering with human feedback,Nakano et al.,2021,arXiv,2112.09332,LLM Applications
511,Toolformer: Language Models Can Teach Themselves to Use Tools,Schick et al.,2023,arXiv,2302.04761,LLM Applications
512,ReAct: Synergizing Reasoning and Acting in Language Models,Yao et al.,2023,ICLR,2210.03629,LLM Applications
513,Reflexion: Language Agents with Verbal Reinforcement Learning,Shinn et al.,2023,arXiv,2303.11366,LLM Applications
514,Tree of Thoughts: Deliberate Problem Solving with LLMs,Yao et al.,2023,arXiv,2305.10601,LLM Applications
515,HuggingGPT: Solving AI Tasks with ChatGPT,Shen et al.,2023,arXiv,2303.17580,LLM Applications
516,Gorilla: Large Language Model Connected with Massive APIs,Patil et al.,2023,arXiv,2305.15334,LLM Applications
517,MemGPT: Towards LLMs as Operating Systems,Packer et al.,2023,arXiv,2310.08560,LLM Applications
518,MetaGPT: Meta Programming for Multi-Agent Systems,Hong et al.,2023,arXiv,2308.00352,Multi-Agent
519,AutoGPT: An Autonomous GPT-4 Experiment,Significant Gravitas,2023,GitHub,,LLM Applications
520,BabyAGI: Task-Driven Autonomous Agent,Nakajima,2023,GitHub,,LLM Applications
521,AgentGPT: Autonomous AI Agents in your browser,Reworkd,2023,GitHub,,LLM Applications
522,AutoGen: Enabling Next-Gen LLM Applications,Wu et al.,2023,arXiv,2308.08155,Multi-Agent
523,ChatDev: Communicative Agents for Software Development,Qian et al.,2023,arXiv,2307.07924,Multi-Agent
524,Generative Agents: Interactive Simulacra of Human Behavior,Park et al.,2023,arXiv,2304.03442,Multi-Agent
